HOG	OG	Gene Tree Parent Clade	protein	protein_2	protein_3
N0.HOG0001208	OG0001159	-	WP_014623396.1	WP_043053379.1	WP_037579846.1
N0.HOG0001209	OG0001160	-	WP_014623397.1	WP_037579848.1	WP_138119710.1
N0.HOG0001210	OG0001161	-	WP_014623399.1	WP_043031351.1	WP_154803586.1
N0.HOG0001211	OG0001162	-	WP_014623400.1	WP_206158728.1	WP_154803585.1
N0.HOG0001212	OG0001163	-	WP_014623401.1	WP_206158729.1	WP_154803584.1
N0.HOG0001213	OG0001164	-	WP_014623402.1	WP_111678461.1	WP_154803583.1
N0.HOG0001214	OG0001165	-	WP_014623405.1	WP_111678467.1	WP_154803580.1
N0.HOG0001215	OG0001166	-	WP_014623406.1	WP_043052335.1	WP_154803579.1
N0.HOG0001216	OG0001167	-	WP_014623408.1	WP_014623408.1	WP_014623408.1
N0.HOG0001217	OG0001168	-	WP_014623410.1	WP_111678471.1	WP_041790323.1
N0.HOG0001218	OG0001169	-	WP_014623419.1	WP_111678489.1	WP_154803575.1
N0.HOG0001219	OG0001170	-	WP_014623420.1	WP_021321103.1	WP_043041072.1
N0.HOG0001220	OG0001171	-	WP_014623421.1	WP_111678491.1	WP_154803574.1
N0.HOG0001221	OG0001172	-	WP_014623422.1	WP_111678493.1	WP_042671253.1
N0.HOG0001222	OG0001173	-	WP_014623423.1	WP_111678497.1	WP_154803573.1
N0.HOG0001223	OG0001174	-	WP_014623424.1	WP_111678500.1	WP_154804373.1
N0.HOG0001224	OG0001175	-	WP_014623425.1	WP_111678502.1	WP_154803561.1
N0.HOG0001225	OG0001176	-	WP_014623426.1	WP_111678860.1	WP_154803560.1
N0.HOG0001226	OG0001177	-	WP_014623427.1	WP_111678504.1	WP_111690395.1
N0.HOG0001227	OG0001178	-	WP_014623428.1	WP_111678506.1	WP_043041081.1
N0.HOG0001228	OG0001179	-	WP_014623430.1	WP_111678510.1	WP_154803559.1
N0.HOG0001229	OG0001180	-	WP_014623431.1	WP_111678512.1	WP_037579913.1
N0.HOG0001230	OG0001181	-	WP_014623434.1	WP_012680068.1	WP_154803557.1
N0.HOG0001231	OG0001182	-	WP_014623437.1	WP_111678519.1	WP_154803555.1
N0.HOG0001232	OG0001183	-	WP_014623438.1	WP_111678521.1	WP_111678521.1
N0.HOG0001233	OG0001184	-	WP_014623439.1	WP_111678525.1	WP_012516257.1
N0.HOG0001234	OG0001185	-	WP_014623443.1	WP_043030134.1	WP_014623443.1
N0.HOG0001235	OG0001186	-	WP_014623444.1	WP_111678529.1	WP_154803553.1
N0.HOG0001236	OG0001187	-	WP_014623445.1	WP_012677405.1	WP_012677405.1
N0.HOG0001237	OG0001188	-	WP_014623447.1	WP_111678533.1	WP_111710802.1
N0.HOG0001238	OG0001189	-	WP_014623448.1	WP_111678535.1	WP_154803551.1
N0.HOG0001239	OG0001190	-	WP_014623449.1	WP_111678537.1	WP_014623449.1
N0.HOG0001240	OG0001191	-	WP_014623451.1	WP_206158733.1	WP_043030141.1
N0.HOG0001241	OG0001192	-	WP_014623452.1	WP_111678862.1	WP_154803550.1
N0.HOG0001242	OG0001193	-	WP_014623453.1	WP_012677397.1	WP_043041094.1
N0.HOG0001243	OG0001194	-	WP_014623456.1	WP_012516273.1	WP_012516273.1
N0.HOG0001244	OG0001195	-	WP_014623457.1	WP_043053403.1	WP_043026540.1
N0.HOG0001245	OG0001196	-	WP_014623462.1	WP_043030145.1	WP_042671297.1
N0.HOG0001246	OG0001197	-	WP_014623463.1	WP_111678545.1	WP_154804370.1
N0.HOG0001247	OG0001198	-	WP_014623464.1	WP_196819673.1	WP_043026548.1
N0.HOG0001248	OG0001199	-	WP_014623465.1	WP_111678549.1	WP_021321130.1
N0.HOG0001249	OG0001200	-	WP_014623466.1	WP_111678551.1	WP_154804369.1
N0.HOG0001250	OG0001201	-	WP_014623469.1	WP_206158734.1	WP_154804365.1
N0.HOG0001251	OG0001202	-	WP_014623470.1	WP_012516290.1	WP_042357214.1
N0.HOG0001252	OG0001203	-	WP_014623472.1	WP_012677379.1	WP_154804364.1
N0.HOG0001253	OG0001204	-	WP_014623473.1	WP_206158735.1	WP_154804363.1
N0.HOG0001254	OG0001205	-	WP_014623474.1	WP_012516295.1	WP_154804362.1
N0.HOG0001255	OG0001206	-	WP_014623477.1	WP_111678563.1	WP_043052355.1
N0.HOG0001256	OG0001207	-	WP_014623480.1	WP_111710240.1	WP_154804157.1
N0.HOG0001257	OG0001208	-	WP_014623481.1	WP_111710239.1	WP_154804158.1
N0.HOG0001258	OG0001209	-	WP_014623496.1, WP_038674104.1		WP_043039296.1
N0.HOG0001259	OG0001210	-	WP_014623499.1	WP_206158950.1	WP_154804159.1
N0.HOG0001260	OG0001211	-	WP_014623510.1	WP_014623510.1	WP_014623510.1
N0.HOG0001261	OG0001212	-	WP_014623511.1	WP_111678567.1	WP_043053414.1
N0.HOG0001262	OG0001213	-	WP_014623515.1	WP_111678571.1	WP_154804360.1
N0.HOG0001263	OG0001214	-	WP_014623517.1	WP_111678575.1	WP_043052360.1
N0.HOG0001264	OG0001215	-	WP_014623518.1	WP_111678577.1	WP_154804359.1
N0.HOG0001265	OG0001216	-	WP_014623519.1	WP_111678579.1	WP_012677362.1
N0.HOG0001266	OG0001217	-	WP_014623521.1	WP_111678581.1	WP_012677361.1
N0.HOG0001267	OG0001218	-	WP_014623524.1	WP_111678587.1	WP_154804358.1
N0.HOG0001268	OG0001219	-	WP_014623526.1	WP_111678589.1	WP_154804356.1
N0.HOG0001269	OG0001220	-	WP_014623528.1	WP_043041129.1	WP_014623528.1
N0.HOG0001270	OG0001221	-	WP_014623529.1	WP_043041131.1	WP_154804355.1
N0.HOG0001271	OG0001222	-	WP_014623530.1	WP_111678591.1	WP_012516320.1
N0.HOG0001272	OG0001223	-	WP_014623531.1	WP_111678593.1	WP_154804354.1
N0.HOG0001273	OG0001224	-	WP_014623532.1	WP_037579560.1	WP_154804353.1
N0.HOG0001274	OG0001225	-	WP_014623533.1	WP_037579558.1	WP_154804352.1
N0.HOG0001275	OG0001226	-	WP_014623545.1	WP_015057290.1	WP_012677345.1
N0.HOG0001276	OG0001227	-	WP_014623547.1	WP_111678619.1	WP_154804336.1
N0.HOG0001277	OG0001228	-	WP_014623550.1	WP_037579539.1	WP_154804332.1
N0.HOG0001278	OG0001229	-	WP_014623551.1	WP_111678625.1	WP_111690442.1
N0.HOG0001279	OG0001230	-	WP_014623554.1	WP_206158745.1	WP_154804330.1
N0.HOG0001280	OG0001231	-	WP_014623557.1	WP_206158747.1	WP_111710844.1
N0.HOG0001281	OG0001232	-	WP_014623558.1	WP_206158748.1	WP_015898573.1
N0.HOG0001282	OG0001233	-	WP_014623560.1	WP_206158750.1	WP_014623560.1
N0.HOG0001283	OG0001234	-	WP_014623561.1	WP_043026658.1	WP_154804328.1
N0.HOG0001284	OG0001235	-	WP_014623562.1	WP_206158751.1	WP_012677325.1
N0.HOG0001285	OG0001236	-	WP_014623563.1	WP_111678641.1	WP_015898577.1
N0.HOG0001286	OG0001237	-	WP_014623568.1	WP_206158754.1	WP_154804326.1
N0.HOG0001287	OG0001238	-	WP_014623569.1	WP_206158755.1	WP_154804325.1
N0.HOG0001288	OG0001239	-	WP_014623572.1	WP_043031512.1	WP_012516357.1
N0.HOG0001289	OG0001240	-	WP_014623573.1	WP_206158759.1	WP_015898586.1
N0.HOG0001290	OG0001241	-	WP_014623578.1	WP_206158762.1	WP_043030196.1
N0.HOG0001291	OG0001242	-	WP_014623579.1	WP_206158763.1	WP_043039476.1
N0.HOG0001292	OG0001243	-	WP_014623582.1	WP_196819687.1	WP_154804319.1
N0.HOG0001293	OG0001244	-	WP_014623583.1	WP_012516370.1	WP_012516370.1
N0.HOG0001294	OG0001245	-	WP_014623584.1	WP_196819688.1	WP_154804318.1
N0.HOG0001295	OG0001246	-	WP_014623586.1	WP_043039480.1	WP_043039480.1
N0.HOG0001296	OG0001247	-	WP_014623592.1	WP_138083084.1	WP_043041180.1
N0.HOG0001297	OG0001248	-	WP_014623593.1	WP_043030210.1	WP_154804313.1
N0.HOG0001298	OG0001249	-	WP_014623596.1	WP_043041183.1	WP_043053470.1
N0.HOG0001299	OG0001250	-	WP_014623597.1	WP_111690472.1	WP_043039496.1
N0.HOG0001300	OG0001251	-	WP_014623598.1	WP_196819694.1	WP_154804312.1
N0.HOG0001301	OG0001252	-	WP_014623599.1	WP_196819695.1	WP_021321196.1
N0.HOG0001302	OG0001253	-	WP_014623600.1	WP_014623600.1	WP_012516387.1
N0.HOG0001303	OG0001254	-	WP_014623601.1	WP_196819696.1	WP_111692821.1
N0.HOG0001304	OG0001255	-	WP_014623604.1	WP_042671390.1	WP_021321198.1
N0.HOG0001305	OG0001256	-	WP_014623606.1	WP_206158767.1	WP_043030216.1
N0.HOG0001306	OG0001257	-	WP_014623608.1	WP_206158771.1	WP_154804306.1
N0.HOG0001307	OG0001258	-	WP_014623610.1	WP_206158773.1	WP_232013913.1
N0.HOG0001308	OG0001259	-	WP_014623611.1	WP_206158774.1	WP_154804307.1
N0.HOG0001309	OG0001260	-	WP_014623612.1	WP_206158775.1	WP_041785768.1
N0.HOG0001310	OG0001261	-	WP_014623613.1	WP_037579450.1	WP_043039555.1
N0.HOG0001311	OG0001262	-	WP_014623615.1	WP_014623615.1	WP_043053483.1
N0.HOG0001312	OG0001263	-	WP_014623617.1	WP_206158777.1	WP_154804305.1
N0.HOG0001313	OG0001264	-	WP_014623618.1	WP_012678666.1	WP_012678666.1
N0.HOG0001314	OG0001265	-	WP_014623619.1	WP_206158778.1	WP_037579437.1
N0.HOG0001315	OG0001266	-	WP_014623620.1	WP_154804304.1	WP_154804304.1
N0.HOG0001316	OG0001267	-	WP_014623625.1	WP_206158780.1	WP_014623625.1
N0.HOG0001317	OG0001268	-	WP_014623626.1	WP_012516420.1	WP_012678673.1
N0.HOG0001318	OG0001269	-	WP_014623627.1	WP_249093247.1	WP_154804303.1
N0.HOG0001319	OG0001270	-	WP_014623629.1	WP_206158781.1	WP_138119888.1
N0.HOG0001320	OG0001271	-	WP_014623630.1	WP_043031581.1	WP_154804302.1
N0.HOG0001321	OG0001272	-	WP_014623631.1	WP_206158782.1	WP_012678677.1
N0.HOG0001322	OG0001273	-	WP_014623633.1	WP_111678726.1	WP_154804301.1
N0.HOG0001323	OG0001274	-	WP_014623634.1	WP_043031585.1	WP_014623634.1
N0.HOG0001324	OG0001275	-	WP_014623635.1	WP_206158785.1	WP_154804300.1
N0.HOG0001325	OG0001276	-	WP_014623636.1	WP_206158786.1	WP_154804299.1
N0.HOG0001326	OG0001277	-	WP_014623641.1	WP_206158788.1	WP_043039523.1
N0.HOG0001327	OG0001278	-	WP_014623644.1	WP_115251409.1	WP_012678694.1
N0.HOG0001328	OG0001279	-	WP_014623646.1	WP_115251411.1	WP_154804296.1
N0.HOG0001329	OG0001280	-	WP_014623648.1	WP_014623648.1	WP_154804294.1
N0.HOG0001330	OG0001281	-	WP_014623650.1	WP_206158792.1	WP_154804293.1
N0.HOG0001331	OG0001282	-	WP_014623651.1	WP_206158793.1	WP_154804292.1
N0.HOG0001332	OG0001283	-	WP_014623653.1	WP_115251416.1	WP_012516457.1
N0.HOG0001333	OG0001284	-	WP_014623654.1	WP_206158796.1	WP_043053502.1
N0.HOG0001334	OG0001285	-	WP_014623655.1	WP_206158799.1	WP_154804289.1
N0.HOG0001335	OG0001286	-	WP_014623656.1	WP_206158801.1	WP_154804288.1
N0.HOG0001336	OG0001287	-	WP_014623659.1	WP_115251423.1	WP_111710899.1
N0.HOG0001337	OG0001288	-	WP_014623660.1	WP_206158807.1	WP_154804286.1
N0.HOG0001338	OG0001289	-	WP_014623665.1	WP_206158816.1	WP_154804281.1
N0.HOG0001339	OG0001290	-	WP_014623666.1	WP_037579716.1	WP_154804280.1
N0.HOG0001340	OG0001291	-	WP_014623667.1	WP_206158818.1	WP_154804279.1
N0.HOG0001341	OG0001292	-	WP_014623669.1	WP_172454094.1	WP_015898693.1
N0.HOG0001342	OG0001293	-	WP_014623670.1	WP_206158821.1	WP_111690517.1
N0.HOG0001343	OG0001294	-	WP_014623672.1	WP_206158825.1	WP_154804274.1
N0.HOG0001344	OG0001295	-	WP_014623673.1	WP_043041253.1	WP_172954526.1
N0.HOG0001345	OG0001296	-	WP_014623674.1	WP_206158827.1	WP_154804273.1
N0.HOG0001346	OG0001297	-	WP_014623675.1	WP_012516494.1	WP_014623675.1
N0.HOG0001347	OG0001298	-	WP_014623676.1	WP_206158828.1	WP_154804272.1
N0.HOG0001348	OG0001299	-	WP_014623677.1	WP_037579670.1	WP_154804271.1
N0.HOG0001349	OG0001300	-	WP_014623678.1	WP_206158832.1	WP_154804269.1
N0.HOG0001350	OG0001301	-	WP_014623679.1	WP_206158834.1	WP_012678733.1
N0.HOG0001351	OG0001302	-	WP_014623680.1	WP_206158836.1	WP_012678734.1
N0.HOG0001352	OG0001303	-	WP_014623681.1	WP_014623681.1	WP_043053521.1
N0.HOG0001353	OG0001304	-	WP_014623682.1	WP_206158838.1	WP_043983146.1
N0.HOG0001354	OG0001305	-	WP_014623683.1	WP_206158840.1	WP_154804268.1
N0.HOG0001355	OG0001306	-	WP_014623685.1	WP_206158841.1	WP_111692887.1
N0.HOG0001356	OG0001307	-	WP_014623689.1	WP_012516513.1	WP_012516513.1
N0.HOG0001357	OG0001308	-	WP_014623690.1	WP_111678801.1	WP_111678801.1
N0.HOG0001358	OG0001309	-	WP_014623691.1	WP_206158848.1	WP_154804263.1
N0.HOG0001359	OG0001310	-	WP_014623692.1	WP_206158849.1	WP_154804262.1
N0.HOG0001360	OG0001311	-	WP_014623696.1	WP_206158851.1	WP_012516520.1
N0.HOG0001361	OG0001312	-	WP_014623697.1	WP_111690534.1	WP_012678752.1
N0.HOG0001362	OG0001313	-	WP_015898660.1	WP_015898660.1	WP_012678687.1
N0.HOG0001363	OG0001314	-	WP_021320338.1	WP_043038497.1	WP_021320338.1
N0.HOG0001364	OG0001315	-	WP_021320355.1	WP_115250579.1	WP_012678534.1
N0.HOG0001365	OG0001316	-	WP_021320447.1	WP_269205574.1	WP_269205574.1
N0.HOG0001366	OG0001317	-	WP_021320451.1	WP_206156386.1	WP_021320451.1
N0.HOG0001367	OG0001318	-	WP_021320463.1	WP_021320463.1	WP_021320463.1
N0.HOG0001368	OG0001319	-	WP_021320464.1	WP_021320464.1	WP_021320464.1
N0.HOG0001369	OG0001320	-	WP_021320513.1	WP_111710439.1	WP_138118959.1
N0.HOG0001370	OG0001321	-	WP_021320519.1	WP_206156348.1	WP_154804035.1
N0.HOG0001371	OG0001322	-	WP_021320597.1	WP_154298852.1	WP_154803961.1
N0.HOG0001372	OG0001323	-	WP_021320625.1	WP_021320625.1	WP_021320625.1
N0.HOG0001373	OG0001324	-	WP_021320627.1	WP_111690046.1	WP_154803944.1
N0.HOG0001374	OG0001325	-	WP_021320639.1	WP_012678117.1	WP_021320639.1
N0.HOG0001375	OG0001326	-	WP_021320686.1	WP_231148175.1	WP_232013954.1
N0.HOG0001376	OG0001327	-	WP_021320695.1	WP_021320695.1	WP_021320695.1
N0.HOG0001377	OG0001328	-	WP_021320787.1	WP_206158639.1	WP_154803843.1
N0.HOG0001378	OG0001329	-	WP_021320874.1	WP_043025999.1	WP_154803790.1
N0.HOG0001379	OG0001330	-	WP_021321114.1	WP_037579917.1	WP_041790317.1
N0.HOG0001380	OG0001331	-	WP_021321207.1	WP_206158779.1	WP_012678669.1
N0.HOG0001381	OG0001332	-	WP_024273159.1	WP_024273159.1	WP_024273159.1
N0.HOG0001382	OG0001333	-	WP_037578643.1	WP_206159040.1	WP_037578643.1
N0.HOG0001383	OG0001334	-	WP_037578741.1	WP_043029597.1	WP_043029597.1
N0.HOG0001384	OG0001335	-	WP_037578927.1	WP_206156344.1	WP_012515291.1
N0.HOG0001385	OG0001336	-	WP_037579096.1	WP_021320511.1	WP_043038773.1
N0.HOG0001386	OG0001337	-	WP_037579971.1	WP_037579971.1	WP_037579971.1
N0.HOG0001387	OG0001338	-	WP_037580100.1	WP_012679088.1	WP_012515069.1
N0.HOG0001388	OG0001339	-	WP_037580974.1	WP_037580974.1	WP_037580974.1
N0.HOG0001389	OG0001340	-	WP_037581536.1	WP_037581536.1	WP_012677593.1
N0.HOG0001390	OG0001341	-	WP_037581741.1	WP_043039145.1	WP_154803727.1
N0.HOG0001391	OG0001342	-	WP_037581977.1	WP_037581977.1	WP_037581977.1
N0.HOG0001392	OG0001343	-	WP_037583955.1	WP_012514799.1	WP_012514799.1
N0.HOG0001393	OG0001344	-	WP_037584074.1	WP_164335069.1	WP_172954540.1
N0.HOG0001394	OG0001345	-	WP_037584115.1	WP_012678130.1	WP_043030677.1
N0.HOG0001395	OG0001346	-	WP_038673942.1	WP_111678573.1	WP_043052359.1
N0.HOG0001396	OG0001347	-	WP_038673946.1	WP_012677368.1	WP_012680108.1
N0.HOG0001397	OG0001348	-	WP_038673952.1	WP_111710919.1	WP_154804161.1
N0.HOG0001398	OG0001349	-	WP_038673969.1		WP_154804164.1, WP_154803570.1
N0.HOG0001399	OG0001350	-	WP_038673978.1	WP_111678554.1	WP_154804367.1
N0.HOG0001400	OG0001351	-	WP_038673980.1	WP_111678553.1	WP_154804368.1
N0.HOG0001401	OG0001352	-	WP_038673984.1	WP_037579990.1	WP_043041096.1
N0.HOG0001402	OG0001353	-	WP_038673987.1	WP_111678531.1	WP_154803552.1
N0.HOG0001403	OG0001354	-	WP_038673989.1	WP_111678527.1	WP_038673989.1
N0.HOG0001404	OG0001355	-	WP_038673995.1	WP_206158731.1	WP_172954501.1
N0.HOG0001405	OG0001356	-	WP_038673998.1	WP_111678508.1	WP_043041082.1
N0.HOG0001406	OG0001357	-	WP_038674003.1	WP_111678495.1	WP_037579894.1
N0.HOG0001407	OG0001358	-	WP_038674006.1	WP_111678487.1	WP_111690390.1
N0.HOG0001408	OG0001359	-	WP_038674011.1	WP_111678473.1	WP_154803578.1
N0.HOG0001409	OG0001360	-	WP_038674013.1	WP_111678465.1	WP_154803581.1
N0.HOG0001410	OG0001361	-	WP_038674015.1	WP_012677455.1	WP_012677455.1
N0.HOG0001411	OG0001362	-	WP_038674020.1	WP_206158726.1	WP_012677460.1
N0.HOG0001412	OG0001363	-	WP_038674028.1	WP_282707514.1	WP_154803597.1
N0.HOG0001413	OG0001364	-	WP_038674032.1	WP_206158722.1	WP_043030088.1
N0.HOG0001414	OG0001365	-	WP_038674033.1	WP_111678401.1	WP_138120029.1
N0.HOG0001415	OG0001366	-	WP_038674035.1	WP_206158721.1	WP_043030086.1
N0.HOG0001416	OG0001367	-	WP_038674037.1	WP_012677489.1	WP_038674037.1
N0.HOG0001417	OG0001368	-	WP_038674039.1	WP_111678391.1	WP_042671184.1
N0.HOG0001418	OG0001369	-	WP_038674046.1	WP_111678377.1	WP_154803606.1
N0.HOG0001419	OG0001370	-	WP_038674051.1	WP_111678353.1	WP_043030068.1
N0.HOG0001420	OG0001371	-	WP_038674052.1	WP_111678351.1	WP_038674052.1
N0.HOG0001421	OG0001372	-	WP_038674057.1	WP_111678345.1	WP_154803613.1
N0.HOG0001422	OG0001373	-	WP_038674059.1	WP_229297300.1	WP_154803615.1
N0.HOG0001423	OG0001374	-	WP_038674062.1	WP_043031274.1	WP_111690338.1
N0.HOG0001424	OG0001375	-	WP_038674064.1	WP_231151224.1	WP_154803618.1
N0.HOG0001425	OG0001376	-	WP_038674069.1	WP_111678333.1	WP_154803619.1
N0.HOG0001426	OG0001377	-	WP_038674072.1	WP_206158715.1	WP_172954502.1
N0.HOG0001427	OG0001378	-	WP_038674074.1	WP_206158710.1	WP_043039249.1
N0.HOG0001428	OG0001379	-	WP_038674079.1	WP_138119638.1	WP_043026362.1
N0.HOG0001429	OG0001380	-	WP_038674092.1	WP_138119609.1	WP_154803639.1
N0.HOG0001430	OG0001381	-	WP_038674112.1, WP_038674130.1	WP_138119587.1	
N0.HOG0001431	OG0001382	-	WP_038674125.1	WP_012516015.1	WP_012516015.1
N0.HOG0001432	OG0001383	-	WP_038674132.1	WP_138119585.1	WP_038674132.1
N0.HOG0001433	OG0001384	-	WP_038674134.1	WP_206158694.1	WP_154803656.1
N0.HOG0001434	OG0001385	-	WP_038674136.1	WP_138119577.1	WP_154803658.1
N0.HOG0001435	OG0001386	-	WP_038674138.1	WP_012677624.1	WP_042670959.1
N0.HOG0001436	OG0001387	-	WP_038674148.1	WP_043039156.1	WP_154803718.1
N0.HOG0001437	OG0001388	-	WP_038674154.1	WP_012515955.1	WP_042670921.1
N0.HOG0001438	OG0001389	-	WP_038674165.1	WP_043039119.1	WP_037581826.1
N0.HOG0001439	OG0001390	-	WP_038674170.1	WP_043029881.1	WP_043040796.1
N0.HOG0001440	OG0001391	-	WP_038674174.1	WP_043026077.1	WP_154804381.1
N0.HOG0001441	OG0001392	-	WP_038674176.1	WP_206158682.1	WP_154804382.1
N0.HOG0001442	OG0001393	-	WP_038674184.1	WP_206152455.1	WP_154803756.1
N0.HOG0001443	OG0001394	-	WP_038674185.1	WP_206152457.1	WP_154803758.1
N0.HOG0001444	OG0001395	-	WP_038674190.1	WP_043030990.1	WP_154803762.1
N0.HOG0001445	OG0001396	-	WP_038674195.1	WP_206158679.1	WP_154803764.1
N0.HOG0001446	OG0001397	-	WP_038674199.1	WP_206158677.1	WP_154803772.1
N0.HOG0001447	OG0001398	-	WP_038674202.1	WP_206152553.1	WP_172954508.1
N0.HOG0001448	OG0001399	-	WP_038674204.1	WP_206152472.1	WP_043983371.1
N0.HOG0001449	OG0001400	-	WP_038674206.1	WP_206158674.1	WP_043029850.1
N0.HOG0001450	OG0001401	-	WP_038674215.1	WP_012677798.1	WP_012677798.1
N0.HOG0001451	OG0001402	-	WP_038674228.1	WP_012515764.1	WP_154803802.1
N0.HOG0001452	OG0001403	-	WP_038674231.1	WP_228274888.1	WP_232013939.1
N0.HOG0001453	OG0001404	-	WP_038674233.1	WP_037580818.1	WP_154804386.1
N0.HOG0001454	OG0001405	-	WP_038674234.1	WP_021320845.1	WP_041785534.1
N0.HOG0001455	OG0001406	-	WP_038674237.1	WP_206152483.1	WP_154803808.1
N0.HOG0001456	OG0001407	-	WP_038674239.1	WP_206152485.1	WP_038674239.1
N0.HOG0001457	OG0001408	-	WP_038674241.1	WP_038674241.1	WP_012677856.1
N0.HOG0001458	OG0001409	-	WP_038674246.1	WP_206152496.1	WP_154803819.1
N0.HOG0001459	OG0001410	-	WP_038674249.1	WP_012677877.1	WP_021320823.1
N0.HOG0001460	OG0001411	-	WP_038674251.1	WP_206152500.1	WP_154804387.1
N0.HOG0001461	OG0001412	-	WP_038674253.1	WP_206152504.1	WP_154803824.1
N0.HOG0001462	OG0001413	-	WP_038674254.1	WP_126436753.1	WP_037581014.1
N0.HOG0001463	OG0001414	-	WP_038674257.1	WP_206152507.1	WP_043053130.1
N0.HOG0001464	OG0001415	-	WP_038674265.1	WP_206158658.1	WP_043053121.1
N0.HOG0001465	OG0001416	-	WP_038674268.1	WP_042670686.1	WP_012677910.1
N0.HOG0001466	OG0001417	-	WP_038674269.1	WP_021320798.1	WP_043030821.1
N0.HOG0001467	OG0001418	-	WP_038674271.1	WP_206158653.1	WP_012677916.1
N0.HOG0001468	OG0001419	-	WP_038674273.1	WP_206158651.1	WP_172954512.1
N0.HOG0001469	OG0001420	-	WP_038674275.1	WP_012679550.1	WP_012679550.1
N0.HOG0001470	OG0001421	-	WP_038674277.1	WP_206159086.1	WP_154804389.1
N0.HOG0001471	OG0001422	-	WP_038674279.1	WP_021320791.1	WP_021320791.1
N0.HOG0001472	OG0001423	-	WP_038674283.1	WP_206159085.1	WP_172954533.1
N0.HOG0001473	OG0001424	-	WP_038674289.1	WP_111690019.1	WP_154803987.1
N0.HOG0001474	OG0001425	-	WP_038674291.1	WP_111690018.1	WP_154803988.1
N0.HOG0001475	OG0001426	-	WP_038674294.1, WP_041788155.1		WP_154804403.1
N0.HOG0001476	OG0001427	-	WP_038674298.1	WP_037581191.1	WP_021320773.1
N0.HOG0001477	OG0001428	-	WP_038674300.1	WP_206158630.1	WP_154804392.1
N0.HOG0001478	OG0001429	-	WP_038674303.1	WP_043038966.1	WP_154803849.1
N0.HOG0001479	OG0001430	-	WP_038674312.1	WP_041790444.1	WP_038674312.1
N0.HOG0001480	OG0001431	-	WP_038674314.1	WP_206158619.1	WP_165623376.1
N0.HOG0001481	OG0001432	-	WP_038674316.1	WP_159334861.1	WP_154803864.1
N0.HOG0001482	OG0001433	-	WP_038674332.1	WP_206159056.1	WP_154804394.1
N0.HOG0001483	OG0001434	-	WP_038674334.1	WP_115250889.1	WP_043053035.1
N0.HOG0001484	OG0001435	-	WP_038674336.1	WP_037578426.1	WP_012515514.1
N0.HOG0001485	OG0001436	-	WP_038674339.1	WP_165627297.1	WP_154803882.1
N0.HOG0001486	OG0001437	-	WP_038674341.1	WP_206159039.1	WP_154803907.1
N0.HOG0001487	OG0001438	-	WP_038674348.1	WP_206159029.1	WP_154803917.1
N0.HOG0001488	OG0001439	-	WP_038674351.1	WP_042670527.1	WP_021320668.1
N0.HOG0001489	OG0001440	-	WP_038674354.1	WP_206159021.1	WP_154803921.1
N0.HOG0001490	OG0001441	-	WP_038674369.1	WP_206159001.1	WP_043030687.1
N0.HOG0001491	OG0001442	-	WP_038674371.1	WP_206159000.1	WP_043030686.1
N0.HOG0001492	OG0001443	-	WP_038674374.1	WP_042670491.1	WP_154803939.1
N0.HOG0001493	OG0001444	-	WP_038674375.1	WP_231147224.1	WP_232013959.1
N0.HOG0001494	OG0001445	-	WP_038674382.1	WP_206156315.1	WP_154803946.1
N0.HOG0001495	OG0001446	-	WP_038674389.1	WP_012678178.1	WP_012678178.1
N0.HOG0001496	OG0001447	-	WP_038674391.1	WP_206156325.1	WP_154803964.1
N0.HOG0001497	OG0001448	-	WP_038674392.1	WP_206156327.1	WP_051603707.1
N0.HOG0001498	OG0001449	-	WP_038674395.1	WP_043029568.1	WP_154803966.1
N0.HOG0001499	OG0001450	-	WP_038674400.1	WP_038674400.1	WP_038674400.1
N0.HOG0001500	OG0001451	-	WP_038674402.1	WP_043025566.1	WP_154803972.1
N0.HOG0001501	OG0001452	-	WP_038674423.1	WP_206156330.1	WP_043052912.1
N0.HOG0001502	OG0001453	-	WP_038674426.1	WP_111677895.1	WP_043029529.1
N0.HOG0001503	OG0001454	-	WP_038674429.1	WP_043025537.1	WP_154804013.1
N0.HOG0001504	OG0001455	-	WP_038674439.1	WP_021320543.1	WP_165620487.1
N0.HOG0001505	OG0001456	-	WP_038674443.1	WP_206156338.1	WP_043030615.1
N0.HOG0001506	OG0001457	-	WP_038674447.1	WP_012678274.1	WP_138118967.1
N0.HOG0001507	OG0001458	-	WP_038674449.1	WP_041785362.1	WP_172954516.1
N0.HOG0001508	OG0001459	-	WP_038674458.1	WP_012678311.1	WP_012678311.1
N0.HOG0001509	OG0001460	-	WP_038674459.1	WP_012678312.1	WP_041785349.1
N0.HOG0001510	OG0001461	-	WP_038674462.1	WP_206156365.1	WP_012678328.1
N0.HOG0001511	OG0001462	-	WP_038674466.1	WP_043029461.1	WP_154804053.1
N0.HOG0001512	OG0001463	-	WP_038674473.1	WP_206156372.1	WP_154804070.1
N0.HOG0001513	OG0001464	-	WP_038674475.1	WP_206156375.1	WP_154804071.1
N0.HOG0001514	OG0001465	-	WP_038674478.1	WP_043030544.1	WP_154804073.1
N0.HOG0001515	OG0001466	-	WP_038674480.1	WP_206156377.1	WP_021320460.1
N0.HOG0001516	OG0001467	-	WP_038674487.1	WP_206156388.1	WP_154804410.1
N0.HOG0001517	OG0001468	-	WP_038674490.1	WP_165627892.1	WP_043983764.1
